           ⬆      struct           -           +           *           <          <=          ==          !=           >          >=          if        then        else       while          do          id         and          or         not           (           )           [           ]           =           ;           ,        true       false        proc     epsilon        call           $       digit           :     integer        real          P'           P           D           S           T           X           C           E           L           B       Elist       relop
       error       error         s10       error       error       error       error       error       error       error       error       error       error       error       error       error         s37       error       error       error         s14       error       error       error       error       error       error       error       error       error       error       error       error         s17       error       error       error       error       error       error       error       error       error       error          71          36       error       error       error
       error       error         s10       error       error       error       error       error       error       error       error       error       error       error       error       error         s37       error       error       error         s14       error       error       error       error       error       error       error       error       error       error       error       error         s17       error       error       error       error       error       error       error       error       error       error          72          36       error       error       error
       error       error         s10       error       error       error       error       error       error       error       error       error       error       error       error       error         s37       error       error       error         s14       error       error       error       error       error       error       error       error       error       error       error       error         s17       error       error       error       error       error       error       error       error       error       error          73          36       error       error       error
       error       error         s76       error       error       error       error       error       error       error       error       error       error       error       error       error         s77       error       error       error         s78       error       error       error       error       error       error       error       error       error       error       error       error         s79       error       error       error       error       error       error       error       error       error       error          74          75       error       error       error
       error       error         s82       error       error       error       error       error       error       error       error       error       error       error       error       error         s83       error       error       error         s84       error       error       error       error       error       error       error       error       error       error       error       error         s85       error       error       error       error       error       error       error       error       error       error          80          81       error       error       error
       error       error         s10       error       error       error       error       error       error       error       error       error       error       error       error       error         s37       error       error       error         s14       error       error       error       error       error       error       error       error       error       error       error       error         s17       error       error       error       error       error       error       error       error       error       error          86          36       error       error       error
       error       error         r20         r20         r20       error       error       error       error       error       error         r20       error       error         r20       error         r20       error       error       error         r20       error       error       error       error       error         r20       error       error       error       error         r20         r20         r20       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         r24         r24         r24       error       error       error       error       error       error         r24       error       error         r24       error         r24       error       error       error         r24       error         s87       error       error       error         r24       error       error       error       error         r24         r24         r24       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         r22         r22         r22       error       error       error       error       error       error         r22       error       error         r22       error         r22       error       error       error         r22       error         s88       error       error       error         r22       error       error       error       error         r22         r22         r22       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         s90         s91         s92         s93         s94         s95         s96         s97         s98       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error          89
       error       error         r24         r24         r24         r24         r24         r24         r24         r24         r24       error       error       error       error       error       error       error       error       error       error       error         s99       error        s100       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error       error       error       error       error       error       error       error       error       error       error        s101       error       error       error       error        s102        s103       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         s41       error       error       error       error       error       error       error       error       error       error       error       error       error        s106       error       error       error        s107       error       error       error       error       error       error       error       error       error       error       error       error         s47       error       error       error       error       error       error       error       error       error       error         104         105       error       error       error
       error       error         r22         r22         r22         r22         r22         r22         r22         r22         r22       error       error       error       error       error       error       error       error       error       error       error        s108       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         s41       error       error       error       error       error       error       error       error       error       error       error       error       error         s42       error       error         s43         s44       error       error       error       error       error       error         s45         s46       error       error       error       error         s47       error       error       error       error       error       error       error       error       error       error          38          39         109       error       error
       error       error        s113       error       error       error       error       error       error       error       error       error       error       error       error       error        s114       error       error        s115        s116       error       error       error       error       error       error        s117        s118       error       error       error       error        s119       error       error       error       error       error       error       error       error       error       error         110         111         112       error       error
       error       error       error       error       error       error       error       error       error       error       error       error         r38       error       error       error       error         r38         r38       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error       error       error       error       error       error       error       error       error       error       error         r39       error       error       error       error         r39         r39       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         r23         r23         r23         r23         r23         r23         r23         r23         r23       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         s90         s91         s92         s93         s94         s95         s96         s97         s98       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error         120
       error       error         r24         r24         r24         r24         r24         r24         r24         r24         r24       error       error       error       error       error       error       error       error       error       error       error         s99       error        s121       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error        s122       error        s123        s124       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         s41       error       error       error       error       error       error       error       error       error       error       error       error       error         s42       error       error         s51         s52       error       error       error       error       error       error         s53         s54       error       error       error       error         s47       error       error       error       error       error       error       error       error       error       error          48          49         125       error       error
       error       error        s113       error       error       error       error       error       error       error       error       error       error       error       error       error        s114       error       error        s115        s116       error       error       error       error       error       error        s117        s118       error       error       error       error        s119       error       error       error       error       error       error       error       error       error       error         110         111         126       error       error
       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error         r38       error         r38         r38       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error         r39       error         r39         r39       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         s76       error       error       error       error       error       error       error       error       error       error       error       error       error         s77       error       error       error         s78       error       error       error       error       error       error       error       error       error       error       error       error         s79       error       error       error       error       error       error       error       error       error       error         127          75       error       error       error
       error       error         s82       error       error       error       error       error       error       error       error       error       error       error       error       error         s83       error       error       error         s84       error       error       error       error       error       error       error       error       error       error       error       error         s85       error       error       error       error       error       error       error       error       error       error         128          81       error       error       error
       error       error        s129        s130        s131       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error        s132       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         r24         r24         r24       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error         r24        s133       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         s59       error       error       error       error       error       error       error       error       error       error       error       error       error         s60       error       error       error         s61       error       error       error       error       error       error       error       error       error       error       error       error         s62       error       error       error       error       error       error       error       error       error       error         134          58       error       error       error
       error       error         r22         r22         r22       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error         r22        s135       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         s59       error       error       error       error       error       error       error       error       error       error       error       error       error         s60       error       error       error         s61       error       error       error       error       error       error       error       error       error       error       error       error         s62       error       error       error       error       error       error       error       error       error       error         136          58       error       error       error
       error       error         r23         r23         r23       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error         r23       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error        s137       error       error       error       error       error       error       error       error        s138       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error        s139       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error        s137       error       error       error       error       error       error       error       error        s138       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error          r5       error       error       error       error       error       error       error       error          r5       error       error          r5       error          r5       error       error       error          r5       error       error       error       error       error       error       error       error       error       error          r5          r5          r5       error       error       error       error       error       error          66       error       error       error           6           7       error           8       error
       error       error       error       error       error       error       error       error       error       error       error       error        s140       error       error       error       error        s102        s103       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error          r8       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error          r8       error       error          r8       error       error          r8          r8       error       error       error       error       error       error       error       error       error       error       error       error
       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error         r26       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error        s141       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         r19         r19         r19       error       error       error       error       error       error         r19       error       error         r19       error         r19       error       error       error         r19       error       error       error       error       error         r19       error       error       error       error         r19         r19         r19       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         r17         r17         r17       error       error       error       error       error       error         r17       error       error         r17       error         r17       error       error       error         r17       error       error       error       error       error         r17       error       error       error       error         r17         r17         r17       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         r18         r18         r18       error       error       error       error       error       error         r18       error       error         r18       error         r18       error       error       error         r18       error       error       error       error       error         r18       error       error       error       error         r18         r18         r18       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error        s142        s143        s144       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error        s145       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
       error       error         r24         r24         r24       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error        s146         r24       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error       error
